"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Dec 25 01:18:24 CET 2022","Sun Dec 25 01:18:35 CET 2022","10704","","/account/settings","","","","should be accessible through menu",""
"failed","Sun Dec 25 01:14:26 CET 2022","Sun Dec 25 01:14:32 CET 2022","5810","","/account/password","","","","requires new password",""
"broken","Sun Dec 25 01:13:17 CET 2022","Sun Dec 25 01:13:23 CET 2022","6623","","login modal","","","","greets with signin",""
"failed","Sun Dec 25 01:23:04 CET 2022","Sun Dec 25 01:23:11 CET 2022","6180","Alert e2e test","Alert page","with existing value","","","edit button click should load edit Alert page and save",""
"failed","Sun Dec 25 01:25:26 CET 2022","Sun Dec 25 01:25:32 CET 2022","5928","Establishment e2e test","Establishment page","with existing value","","","last delete button click should delete instance of Establishment",""
"passed","Sun Dec 25 01:40:50 CET 2022","Sun Dec 25 01:40:53 CET 2022","3141","","Permission e2e test","","","","Permissions menu should load Permissions page",""
"failed","Sun Dec 25 01:45:58 CET 2022","Sun Dec 25 01:46:04 CET 2022","6458","Role e2e test","Role page","with existing value","","","detail button click should load details Role page",""
"failed","Sun Dec 25 01:14:10 CET 2022","Sun Dec 25 01:14:15 CET 2022","5554","","/account/password","","","","requires current password",""
"failed","Sun Dec 25 01:28:22 CET 2022","Sun Dec 25 01:28:28 CET 2022","5845","Hospitalization e2e test","Hospitalization page","create button click","","","should load create Hospitalization page",""
"failed","Sun Dec 25 01:43:50 CET 2022","Sun Dec 25 01:43:57 CET 2022","7261","Reminder e2e test","Reminder page","with existing value","","","detail button click should load details Reminder page",""
"failed","Sun Dec 25 01:34:30 CET 2022","Sun Dec 25 01:34:36 CET 2022","5896","Message e2e test","Message page","with existing value","","","edit button click should load edit Message page and go back",""
"failed","Sun Dec 25 01:35:41 CET 2022","Sun Dec 25 01:35:47 CET 2022","5403","Metric e2e test","Metric page","create button click","","","should load create Metric page",""
